sampler,model,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,weighted_precision_mean,weighted_precision_std,macro_recall_mean,macro_recall_std,weighted_recall_mean,weighted_recall_std,ordinal_mae_mean,ordinal_mae_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,adjacent_accuracy_mean,adjacent_accuracy_std,severe_error_rate_mean,severe_error_rate_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,pr_auc_macro_mean,pr_auc_macro_std,pr_auc_weighted_mean,pr_auc_weighted_std
adasyn,lr,10,0.7316666666666667,0.04263685300966643,0.7515777013871388,0.08078207549584189,0.6622027883123959,0.06063840048769022,0.7493621681568317,0.03973837468460873,0.6299312714619864,0.053693210838622656,0.8057582474938243,0.04355794900065104,0.7515777013871388,0.08078207549584189,0.7316666666666667,0.04263685300966643,0.2883333333333333,0.048304589153964794,0.5285354352721063,0.09840658817803778,0.9800000000000001,0.010540925533894598,0.019999999999999997,0.010540925533894598,0.8996867850402921,0.037844101378909416,0.880413683520144,0.04044971143616438,0.7721363981872632,0.09413419093710448,0.8736288071339121,0.04559365005123335
adasyn,lr_bal,10,0.7316666666666666,0.040975753143523926,0.7515733475034746,0.08018786487355883,0.6621327818613033,0.05951719344858879,0.7491915652487349,0.03820379894554665,0.6294894693515323,0.052543585174430196,0.8054133625978119,0.042816573056207584,0.7515733475034746,0.08018786487355883,0.7316666666666666,0.040975753143523926,0.28833333333333333,0.047009324002902635,0.5281366163755095,0.09825304411980487,0.9800000000000001,0.010540925533894598,0.019999999999999997,0.010540925533894598,0.8991196252319295,0.03792944007659419,0.8797795307490436,0.040474426612921555,0.771483298358991,0.09413699693774326,0.8731371320514238,0.045635428941508634
adasyn,rf,10,0.9233333333333335,0.02570007445826749,0.8511616388249781,0.04373592168154555,0.8759954623897167,0.03831914858042169,0.9212070908377974,0.026189388277976195,0.9143392904093203,0.039865303513515915,0.9244794045035309,0.024639012234480777,0.8511616388249781,0.04373592168154555,0.9233333333333335,0.02570007445826749,0.07833333333333334,0.02581988897471611,0.8395969621296464,0.05350731123763963,0.9983333333333334,0.0035136418446315197,0.0016666666666666666,0.0035136418446315323,0.9661396224912672,0.0160248136735889,0.9570851262125422,0.020431887016878685,0.918570047963868,0.0420885638964057,0.9539664298335244,0.023670580784145627
adasyn,rf_bal,10,0.9266666666666667,0.026874192494328507,0.8590408764455951,0.03665625495680551,0.8828909520664242,0.03909132182642191,0.9248992775419274,0.0268288967266726,0.9169668873697858,0.047780773598710406,0.9273066448160868,0.027118837168183668,0.8590408764455951,0.03665625495680551,0.9266666666666667,0.026874192494328507,0.075,0.027216552697590865,0.8475467041473983,0.054130651592840875,0.9983333333333334,0.0035136418446315197,0.0016666666666666666,0.0035136418446315323,0.9654965516753237,0.016651761136753887,0.9565200712723583,0.020912075324792643,0.9187263027107788,0.042584471436256086,0.9540625500987131,0.024108044187907886
none,lr,10,0.8191666666666666,0.04121046552922937,0.6942865618954549,0.087751063990288,0.7161457915258962,0.0836072841865551,0.813076334061331,0.04591869039759862,0.7514664473601316,0.07868665492325584,0.8137147804351553,0.04832758996855749,0.6942865618954549,0.087751063990288,0.8191666666666666,0.04121046552922937,0.18666666666666668,0.045167725831506335,0.5970975289418204,0.12539671176331119,0.9941666666666669,0.00562457131425461,0.005833333333333333,0.005624571314254608,0.9090400152235523,0.033296675851842435,0.8907284689196194,0.03656256362862325,0.796074189767792,0.08646279060231017,0.8850158333950752,0.041773187377275936
none,lr_bal,10,0.7316666666666667,0.03824869884013,0.7650130127988567,0.07374087769484415,0.6673671711640832,0.05352973362091987,0.7489420481640147,0.03552636943309005,0.6337250843640228,0.04731126129916647,0.8100182501812991,0.04013368934275265,0.7650130127988567,0.07374087769484415,0.7316666666666667,0.03824869884013,0.2841666666666667,0.04220942788606754,0.5527010156770447,0.08917147926420121,0.9841666666666666,0.01141933599505249,0.01583333333333333,0.011419335995052482,0.9018626566253991,0.03689505068314694,0.8832551157344728,0.03985814941348524,0.7786721609702291,0.09329733538907402,0.8764364827435142,0.044821254591872604
none,rf,10,0.9225,0.023586588572615298,0.8395308734419442,0.03728232016324675,0.87359223437137,0.03337654919999784,0.9197328994807104,0.024060631183772583,0.92482875950907,0.038586793319792145,0.9239261788699903,0.02404315837574247,0.8395308734419442,0.03728232016324675,0.9225,0.023586588572615298,0.07916666666666666,0.02365192550823111,0.8346574731039714,0.050014760596012134,0.9983333333333334,0.0035136418446315197,0.0016666666666666666,0.0035136418446315323,0.9600803780477258,0.017999384257139164,0.9522962122635349,0.02099691594802418,0.9160593338172708,0.03427418687868807,0.9510988462496321,0.021634660442494933
none,rf_bal,10,0.9175000000000001,0.028177677006479454,0.8153332335138141,0.05249961294003416,0.8580429626344038,0.043607324657402254,0.9127908062871082,0.02995994954293199,0.9348721408488391,0.03282297350295515,0.9214650177265952,0.026600628916993656,0.8153332335138141,0.05249961294003416,0.9175000000000001,0.028177677006479454,0.08333333333333334,0.028327886186626582,0.8234470106045991,0.06556917748570343,0.9991666666666668,0.00263523138347364,0.0008333333333333333,0.002635231383473649,0.9651974541506106,0.013363754661515832,0.958343318688326,0.01657413526169603,0.9191447356999785,0.033728100693172676,0.9552312326857082,0.01834012074251043
random_under,lr,10,0.7083333333333334,0.04444444444444444,0.7396228076219,0.07465765606070435,0.6403287898306619,0.05486941731712983,0.7284093555101088,0.040725624293375354,0.6092460229514105,0.0477259835162623,0.7965097187234462,0.04198900809754812,0.7396228076219,0.07465765606070435,0.7083333333333334,0.04444444444444444,0.3133333333333333,0.049096780211746,0.5052987865339705,0.0910396029097854,0.9783333333333333,0.010540925533894591,0.021666666666666667,0.010540925533894597,0.8899409931954224,0.040589311051739733,0.8689170866286504,0.04532543072808084,0.764477073521844,0.08240601741923723,0.8660372952925881,0.04277082685426782
random_under,lr_bal,10,0.7083333333333334,0.04444444444444444,0.7396228076219,0.07465765606070435,0.6403287898306619,0.05486941731712983,0.7284093555101088,0.040725624293375354,0.6092460229514105,0.0477259835162623,0.7965097187234462,0.04198900809754812,0.7396228076219,0.07465765606070435,0.7083333333333334,0.04444444444444444,0.3133333333333333,0.049096780211746,0.5052987865339705,0.0910396029097854,0.9783333333333333,0.010540925533894591,0.021666666666666667,0.010540925533894597,0.8899409931954224,0.040589311051739733,0.8689170866286504,0.04532543072808084,0.764477073521844,0.08240601741923723,0.8660372952925881,0.04277082685426782
random_under,rf,10,0.8891666666666665,0.032167098442697974,0.8860280685235313,0.03999739230180618,0.8439708334586884,0.042103684999933035,0.8925037293459448,0.030182408146306298,0.8154395375635695,0.04938820642330644,0.903755381900478,0.025601022887665435,0.8860280685235313,0.03999739230180618,0.8891666666666665,0.032167098442697974,0.11333333333333333,0.03518031155330569,0.801970938968973,0.06460484263934729,0.9974999999999999,0.005624571314254619,0.0025,0.005624571314254608,0.960258111753099,0.016461892618333973,0.950129032437497,0.020676754603940164,0.9118354319969153,0.0370939235915837,0.9489784764393114,0.022280826719632583
random_under,rf_bal,10,0.8891666666666665,0.032167098442697974,0.8860280685235313,0.03999739230180618,0.8439708334586884,0.042103684999933035,0.8925037293459448,0.030182408146306298,0.8154395375635695,0.04938820642330644,0.903755381900478,0.025601022887665435,0.8860280685235313,0.03999739230180618,0.8891666666666665,0.032167098442697974,0.11333333333333333,0.03518031155330569,0.801970938968973,0.06460484263934729,0.9974999999999999,0.005624571314254619,0.0025,0.005624571314254608,0.960258111753099,0.016461892618333973,0.950129032437497,0.020676754603940164,0.9118354319969153,0.0370939235915837,0.9489784764393114,0.022280826719632583
smote,lr,10,0.7483333333333333,0.04135065347984089,0.7688694537968586,0.07757391685006855,0.6830357799314737,0.06314767555957637,0.7636599203718374,0.039128942299128146,0.6507744597977773,0.05955247088167338,0.813996551943346,0.04331450399885784,0.7688694537968586,0.07757391685006855,0.7483333333333333,0.04135065347984089,0.2666666666666666,0.04811252243246881,0.5662946771686461,0.10296888987793941,0.985,0.01229774645621037,0.015,0.012297746456210365,0.9008930429304265,0.03652647340018309,0.8803738617780951,0.039435584099221835,0.7718180587730019,0.08992657991743133,0.8730144269309299,0.043482737812110726
smote,lr_bal,10,0.7483333333333333,0.04135065347984089,0.7688694537968586,0.07757391685006855,0.6830357799314737,0.06314767555957637,0.7636599203718374,0.039128942299128146,0.6507744597977773,0.05955247088167338,0.813996551943346,0.04331450399885784,0.7688694537968586,0.07757391685006855,0.7483333333333333,0.04135065347984089,0.2666666666666666,0.04811252243246881,0.5662946771686461,0.10296888987793941,0.985,0.01229774645621037,0.015,0.012297746456210365,0.9008930429304265,0.03652647340018309,0.8803738617780951,0.039435584099221835,0.7718180587730019,0.08992657991743133,0.8730144269309299,0.043482737812110726
smote,rf,10,0.9250000000000002,0.03513641844631531,0.8547267418002444,0.05242559914620909,0.8790501492521148,0.05553683863591984,0.9230962072463065,0.03535399564366347,0.9137233446636113,0.06197023297078994,0.9253940504377253,0.035729376594947106,0.8547267418002444,0.05242559914620909,0.9250000000000002,0.03513641844631531,0.07749999999999999,0.03768984865130164,0.8390716326460949,0.0828782937987921,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9662619317156531,0.015014234542329611,0.95658863510293,0.0193868983086998,0.9197486550460237,0.040321651229627976,0.9547480864278721,0.021967066730429426
smote,rf_bal,10,0.9250000000000002,0.03513641844631531,0.8547267418002444,0.05242559914620909,0.8790501492521148,0.05553683863591984,0.9230962072463065,0.03535399564366347,0.9137233446636113,0.06197023297078994,0.9253940504377253,0.035729376594947106,0.8547267418002444,0.05242559914620909,0.9250000000000002,0.03513641844631531,0.07749999999999999,0.03768984865130164,0.8390716326460949,0.0828782937987921,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9662619317156531,0.015014234542329611,0.95658863510293,0.0193868983086998,0.9197486550460237,0.040321651229627976,0.9547480864278721,0.021967066730429426
smote_tomek,lr,10,0.7483333333333333,0.04135065347984089,0.7688694537968586,0.07757391685006855,0.6830357799314737,0.06314767555957637,0.7636599203718374,0.039128942299128146,0.6507744597977773,0.05955247088167338,0.813996551943346,0.04331450399885784,0.7688694537968586,0.07757391685006855,0.7483333333333333,0.04135065347984089,0.2666666666666666,0.04811252243246881,0.5662946771686461,0.10296888987793941,0.985,0.01229774645621037,0.015,0.012297746456210365,0.9008930429304265,0.03652647340018309,0.8803738617780951,0.039435584099221835,0.7718180587730019,0.08992657991743133,0.8730144269309299,0.043482737812110726
smote_tomek,lr_bal,10,0.7483333333333333,0.04135065347984089,0.7688694537968586,0.07757391685006855,0.6830357799314737,0.06314767555957637,0.7636599203718374,0.039128942299128146,0.6507744597977773,0.05955247088167338,0.813996551943346,0.04331450399885784,0.7688694537968586,0.07757391685006855,0.7483333333333333,0.04135065347984089,0.2666666666666666,0.04811252243246881,0.5662946771686461,0.10296888987793941,0.985,0.01229774645621037,0.015,0.012297746456210365,0.9008930429304265,0.03652647340018309,0.8803738617780951,0.039435584099221835,0.7718180587730019,0.08992657991743133,0.8730144269309299,0.043482737812110726
smote_tomek,rf,10,0.9250000000000002,0.03513641844631531,0.8547267418002444,0.05242559914620909,0.8790501492521148,0.05553683863591984,0.9230962072463065,0.03535399564366347,0.9137233446636113,0.06197023297078994,0.9253940504377253,0.035729376594947106,0.8547267418002444,0.05242559914620909,0.9250000000000002,0.03513641844631531,0.07749999999999999,0.03768984865130164,0.8390716326460949,0.0828782937987921,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9662619317156531,0.015014234542329611,0.95658863510293,0.0193868983086998,0.9197486550460237,0.040321651229627976,0.9547480864278721,0.021967066730429426
smote_tomek,rf_bal,10,0.9250000000000002,0.03513641844631531,0.8547267418002444,0.05242559914620909,0.8790501492521148,0.05553683863591984,0.9230962072463065,0.03535399564366347,0.9137233446636113,0.06197023297078994,0.9253940504377253,0.035729376594947106,0.8547267418002444,0.05242559914620909,0.9250000000000002,0.03513641844631531,0.07749999999999999,0.03768984865130164,0.8390716326460949,0.0828782937987921,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9662619317156531,0.015014234542329611,0.95658863510293,0.0193868983086998,0.9197486550460237,0.040321651229627976,0.9547480864278721,0.021967066730429426
