run_id,date_time,git_commit_if_available,script,config,feature_set,model,seed,cv_strategy,primary_metrics,output_dir,notes,decision_status
audit_20260605_phase0,2026-06-05T16:26:44+03:00,6f9df0a85d26bf1519634001357c8f91340a740c,manual_repository_audit,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,reports/research_log/repo_audit.md,"Phase 0 repository audit only. No model experiment was executed in this registry row. Existing reports, scripts, tests, and artifacts were inventoried.",needs_review
infra_config_registry_tests_20260605,2026-06-05T15:03:28+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/*.yaml,not_applicable,not_applicable,not_applicable,not_applicable,17 unit tests passed,tests,"Validated config loading, feature-set exclusion, taxonomy annotations, central metrics, leakage sensitivity, and experiment registry writer without running model experiments.",candidate
data_audit_20260605,2026-06-05T15:05:05+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.data.audit,configs/project.yaml; configs/feature_taxonomy.yaml,not_applicable,not_applicable,not_applicable,not_applicable,"{""columns"": 28, ""duplicate_id_count"": 0, ""null_target_count"": 0, ""rows"": 1200}",reports\data_audit,"Generated schema, target distribution, missingness, duplicate, taxonomy review, and temporality audit outputs.",candidate
phase2_data_audit_tests_20260605,2026-06-05T15:05:22+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/project.yaml; configs/feature_taxonomy.yaml; configs/feature_sets.yaml,not_applicable,not_applicable,not_applicable,not_applicable,18 unit tests passed,tests,"Validated data audit generation plus phase-1 config, feature-set, taxonomy, metrics, leakage sensitivity, and registry tests.",candidate
leakage_sensitivity_existing_ablation_20260605,2026-06-05T15:07:07+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.leakage_sensitivity,reports/robustness/leakage_ablation/leakage_ablation_summary.csv,multiple,catboost; lightgbm; xgboost,source_report,source_report,macro_f1_lsi; quadratic_weighted_kappa_lsi,reports\leakage,Derived LSI report from existing leakage ablation outputs. No model training was run.,candidate
phase4_lsi_report_tests_20260605,2026-06-05T15:07:23+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/evaluation.yaml; reports/leakage/leakage_sensitivity_index.csv,multiple,not_applicable,not_applicable,not_applicable,19 unit tests passed,tests,"Validated LSI table generation plus config, data audit, feature-set, taxonomy, metrics, and registry tests.",candidate
leakage_safe_cv_config_2026-06-05T15:16:50+00:00,2026-06-05T15:16:50+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.leakage_safe_cv,configs/feature_sets.yaml; configs/evaluation.yaml; configs/model_grid.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department,catboost; lightgbm; xgboost,42,"StratifiedKFold(n_splits=10, shuffle=True)",macro_f1; quadratic_weighted_kappa; ordinal_mae; severe_error_rate; nll_log_loss; multiclass_brier; ece_confidence,reports\leakage_safe_cv_config,Config-backed leakage-safe CV. Final candidate feature sets exclude Age per researcher approval.,candidate
department_proxy_analysis_20260605,2026-06-05T15:19:13+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.proxy_analysis,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml,no_salary_hike_no_attrition_no_department,balanced_logistic_regression_proxy_classifier,42,"StratifiedKFold(n_splits=5, shuffle=True)","[{""mean"": 0.9824999999999999, ""metric"": ""accuracy"", ""std"": 0.00950146187582617}, {""mean"": 0.981974051708067, ""metric"": ""balanced_accuracy"", ""std"": 0.015443491788476503}, {""mean"": 0.9723854069988519, ""metric"": ""macro_f1"", ""std"": 0.013044933931867364}]",reports\fairness,Proxy analysis for reconstructing EmpDepartment from department-free final-candidate features. No employee performance model was trained.,candidate
phase_proxy_tests_20260605,2026-06-05T15:20:00+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml,not_applicable,not_applicable,not_applicable,not_applicable,22 unit tests passed,tests,"Validated approved Age exclusion policy, config-backed feature sets, leakage CV helpers, data audit, LSI, metrics, registry, and department proxy helper tests.",candidate
final_fast_tests_after_catboost_write_guard_20260605,2026-06-05T15:20:56+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/*.yaml,not_applicable,not_applicable,not_applicable,not_applicable,22 unit tests passed,tests,Final fast test pass after adding CatBoost allow_writing_files=False guard in leakage-safe CV.,candidate
leakage_safe_cv_config_2026-06-05T15:28:10+00:00,2026-06-05T15:28:10+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.leakage_safe_cv,configs/feature_sets.yaml; configs/evaluation.yaml; configs/model_grid.yaml,no_salary_hike_no_attrition_no_department_no_job_role,catboost; lightgbm; xgboost,42,"StratifiedKFold(n_splits=10, shuffle=True)",macro_f1; quadratic_weighted_kappa; ordinal_mae; severe_error_rate; nll_log_loss; multiclass_brier; ece_confidence,reports\leakage_safe_cv_job_role_sensitivity,Config-backed leakage-safe CV. Final candidate feature sets exclude Age per researcher approval.,candidate
department_proxy_analysis_20260605,2026-06-05T15:28:23+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.proxy_analysis,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml,no_salary_hike_no_attrition_no_department_no_job_role,balanced_logistic_regression_proxy_classifier,42,"StratifiedKFold(n_splits=5, shuffle=True)","[{""mean"": 0.2875, ""metric"": ""accuracy"", ""std"": 0.045261585380000885}, {""mean"": 0.2948596005193244, ""metric"": ""balanced_accuracy"", ""std"": 0.06887727004284011}, {""mean"": 0.24075287023165778, ""metric"": ""macro_f1"", ""std"": 0.034575998167021386}]",reports\fairness\proxy_no_job_role,Proxy analysis for reconstructing EmpDepartment from department-free final-candidate features. No employee performance model was trained.,candidate
department_proxy_analysis_no_salary_hike_no_attrition_no_department_2026-06-05T15:28:51+00:00,2026-06-05T15:28:51+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.proxy_analysis,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml,no_salary_hike_no_attrition_no_department,balanced_logistic_regression_proxy_classifier,42,"StratifiedKFold(n_splits=5, shuffle=True)","[{""mean"": 0.9824999999999999, ""metric"": ""accuracy"", ""std"": 0.00950146187582617}, {""mean"": 0.981974051708067, ""metric"": ""balanced_accuracy"", ""std"": 0.015443491788476503}, {""mean"": 0.9723854069988519, ""metric"": ""macro_f1"", ""std"": 0.013044933931867364}]",reports\fairness\proxy_with_job_role,Proxy analysis for reconstructing EmpDepartment from department-free final-candidate features. No employee performance model was trained.,candidate
department_proxy_analysis_no_salary_hike_no_attrition_no_department_no_job_role_2026-06-05T15:28:53+00:00,2026-06-05T15:28:53+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.proxy_analysis,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml,no_salary_hike_no_attrition_no_department_no_job_role,balanced_logistic_regression_proxy_classifier,42,"StratifiedKFold(n_splits=5, shuffle=True)","[{""mean"": 0.2875, ""metric"": ""accuracy"", ""std"": 0.04299951550114644}, {""mean"": 0.29489029559796476, ""metric"": ""balanced_accuracy"", ""std"": 0.06788825028740618}, {""mean"": 0.24120600735255388, ""metric"": ""macro_f1"", ""std"": 0.033088933085169546}]",reports\fairness\proxy_no_job_role,Proxy analysis for reconstructing EmpDepartment from department-free final-candidate features. No employee performance model was trained.,candidate
job_role_sensitivity_report_2026-06-05T15:29:58+00:00,2026-06-05T15:29:58+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.job_role_sensitivity,configs/feature_sets.yaml; reports/leakage_safe_cv_config; reports/leakage_safe_cv_job_role_sensitivity; reports/fairness/proxy_*,no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,summary_report,source_reports,source_reports,"[{""best_model"": ""xgboost"", ""comparison"": ""best_department_free_with_job_role"", ""department_proxy_balanced_accuracy"": 0.981974051708067, ""department_proxy_macro_f1"": 0.972385406998852, ""feature_set"": ""no_salary_hike_no_attrition_no_department"", ""macro_f1_delta_vs_with_job_role"": 0.0, ""performance_macro_f1"": 0.5987215278292141, ""performance_ordinal_mae"": 0.1525, ""performance_qwk"": 0.6380278784486674, ""proxy_macro_f1_delta_vs_with_job_role"": 0.0, ""proxy_macro_f1_relative_reduction"": 0.0, ""qwk_delta_vs_with_job_role"": 0.0}, {""best_model"": ""lightgbm"", ""comparison"": ""best_department_free_without_job_role"", ""department_proxy_balanced_accuracy"": 0.2948902955979647, ""department_proxy_macro_f1"": 0.2412060073525538, ""feature_set"": ""no_salary_hike_no_attrition_no_department_no_job_role"", ""macro_f1_delta_vs_with_job_role"": -0.03752251303849752, ""performance_macro_f1"": 0.5611990147907165, ""performance_ordinal_mae"": 0.2025, ""performance_qwk"": 0.5430077288854379, ""proxy_macro_f1_delta_vs_with_job_role"": -0.7311793996462982, ""proxy_macro_f1_relative_reduction"": 0.7519440279374343, ""qwk_delta_vs_with_job_role"": -0.09502014956322946}]",reports\fairness,Joined performance and department-proxy evidence for EmpJobRole sensitivity.,needs_review
job_role_sensitivity_final_tests_20260605,2026-06-05T15:30:38+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/feature_sets.yaml; reports/fairness/job_role_sensitivity_comparison.csv,no_salary_hike_no_attrition_no_department_no_job_role,not_applicable,not_applicable,not_applicable,23 unit tests passed,tests,Validated job-role-free sensitivity feature-set exclusion and existing infrastructure tests after generating comparison reports.,candidate
fairness_feature_set_sensitivity_2026-06-05T15:39:38+00:00,2026-06-05T15:39:38+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.fairness_sensitivity,configs/feature_sets.yaml; configs/fairness.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,xgboost,42,"StratifiedKFold(n_splits=10, shuffle=True)",support-filtered subgroup gaps,reports\fairness\feature_set_sensitivity,OOF fairness sensitivity across feature sets using a fixed model to isolate feature-set effects.,candidate
fairness_feature_set_sensitivity_2026-06-05T15:41:31+00:00,2026-06-05T15:41:31+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.fairness_sensitivity,configs/feature_sets.yaml; configs/fairness.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,xgboost,42,"StratifiedKFold(n_splits=10, shuffle=True)",support-filtered subgroup gaps,reports\fairness\feature_set_sensitivity,OOF fairness sensitivity across feature sets using a fixed model to isolate feature-set effects.,candidate
fairness_feature_set_sensitivity_final_tests_20260605,2026-06-05T15:42:43+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/feature_sets.yaml; configs/fairness.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,not_applicable,not_applicable,not_applicable,24 unit tests passed,tests,Validated fairness feature-set sensitivity reporting and support-filtered disparity summary columns after OOF experiment generation.,candidate
final_fairness_bootstrap_2026-06-05T16:08:30+00:00,2026-06-05T16:08:30+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.final_fairness_bootstrap,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,xgboost,42,task_specific; see output metadata,bootstrap CI for support-filtered subgroup disparity gaps,reports\fairness\feature_set_sensitivity,Bootstrap uncertainty for OOF fairness disparity metrics using current config-backed XGBoost OOF predictions.,candidate
final_calibration_2026-06-05T16:08:58+00:00,2026-06-05T16:08:58+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.final_calibration,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,xgboost,42,task_specific; see output metadata,log loss; multiclass Brier; ECE; class-wise calibration bins,reports\calibration\final_candidates,"Nested train/calibration split inside each outer fold for raw, sigmoid, and isotonic probability diagnostics.",candidate
final_shap_stability_2026-06-05T16:09:29+00:00,2026-06-05T16:09:29+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.final_shap_stability,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,xgboost,42,task_specific; see output metadata,top-k Jaccard and Spearman rank stability of grouped SHAP importance,reports\xai\final_candidates,Grouped one-hot XGBoost SHAP values back to raw feature families across CV folds.,candidate
final_counterfactual_actionability_2026-06-05T16:09:52+00:00,2026-06-05T16:09:52+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.final_counterfactual_actionability,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,xgboost,42,task_specific; see output metadata,counterfactual validity by intervention mode; probability gain; cost; changed control types,reports\counterfactuals\final_candidates,Prototype-based constrained counterfactual actionability diagnostics for final XGBoost candidates.,candidate
final_model_selection_dashboard_2026-06-05T16:10:05+00:00,2026-06-05T16:10:05+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.final_model_selection dashboard,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,xgboost,42,task_specific; see output metadata,performance; calibration; fairness CI; proxy risk; SHAP stability; actionability; leakage safety,reports\model_selection,Final multi-criteria dashboard and nuanced model recommendation for XGBoost final candidates.,candidate
final_reason_codes_2026-06-05T16:10:24+00:00,2026-06-05T16:10:24+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.final_reason_codes,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition_no_department,xgboost,42,task_specific; see output metadata,representative local grouped SHAP reason codes with governance warnings,reports\xai\final_candidates\reason_code_examples,Generated governance-safe reason-code examples for the recommended primary candidate.,candidate
final_model_card_2026-06-05T16:10:33+00:00,2026-06-05T16:10:33+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.final_model_selection model-card,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition_no_department,xgboost,42,task_specific; see output metadata,model governance card,reports\model_card,Generated manuscript-ready governance model card for the recommended primary candidate.,candidate
final_evidence_package_tests_20260605,2026-06-05T16:11:29+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml; configs/counterfactuals.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department; no_salary_hike_no_attrition_no_department_no_job_role,not_applicable,not_applicable,not_applicable,29 unit tests passed,tests,"Validated final evidence package utilities, dashboard schema, grouped SHAP aggregation, calibration helper, bootstrap helper, and existing infrastructure tests.",candidate
llm_governed_explanations_2026-06-22T11:07:17+00:00,2026-06-22T11:07:17+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.llm.generate_governed_explanations,structured evidence loaded from final candidate reports,no_salary_hike_no_attrition_no_department,offline_stub_llm_interpreter,deterministic,not_applicable,faithfulness score; warning coverage,reports/llm_explanations,Generated deterministic governed LLM-style explanations from structured XAI evidence.,candidate
multi_agent_governance_audit_2026-06-22T11:07:18+00:00,2026-06-22T11:07:18+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.agents.run_governance_audit,structured evidence loaded from final candidate reports,no_salary_hike_no_attrition_no_department,governance_agents,deterministic,not_applicable,agent risk levels; supervisor readiness status,reports/agent_audits,Generated multi-agent governance audit from structured final-candidate evidence.,candidate
gxair_llm_agent_dashboard_2026-06-22T11:07:19+00:00,2026-06-22T11:07:19+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.governance.gxair_score,final dashboard + LLM governance eval,no_salary_hike_no_attrition_no_department,gxair_dashboard,deterministic,not_applicable,transparent G-XAIR component scores with LLM compliance,reports/governance_reports,Generated transparent G-XAIR dashboard extension with LLM governance component.,candidate
final_llm_agent_research_summary_2026-06-22T11:07:20+00:00,2026-06-22T11:07:20+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.governance.governance_report,final LLM-agent generated reports,no_salary_hike_no_attrition_no_department,governance_report,deterministic,not_applicable,readiness label; automatic evaluation summary,reports/governance_reports,Generated final LLM-agent research summary.,candidate
chatbot_guardrail_eval_2026-06-22T11:07:38+00:00,2026-06-22T11:07:38+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.chatbot.evaluate_chatbot,unsafe prompt set in src.chatbot.evaluate_chatbot,not_applicable,guardrailed_chatbot,deterministic,not_applicable,unsafe_prompt_refusal_rate=0.857,reports/chatbot_eval,Evaluated chatbot refusal behavior on unsafe HR prompts.,candidate
chatbot_guardrail_eval_2026-06-22T11:07:39+00:00,2026-06-22T11:07:39+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.chatbot.evaluate_chatbot,unsafe prompt set in src.chatbot.evaluate_chatbot,not_applicable,guardrailed_chatbot,deterministic,not_applicable,unsafe_prompt_refusal_rate=0.857,reports/chatbot_eval,Evaluated chatbot refusal behavior on unsafe HR prompts.,candidate
multi_agent_governance_audit_2026-06-22T11:07:39+00:00,2026-06-22T11:07:39+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.agents.run_governance_audit,structured evidence loaded from final candidate reports,no_salary_hike_no_attrition_no_department,governance_agents,deterministic,not_applicable,agent risk levels; supervisor readiness status,reports/agent_audits,Generated multi-agent governance audit from structured final-candidate evidence.,candidate
llm_governance_eval_2026-06-22T11:07:39+00:00,2026-06-22T11:07:39+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.llm.evaluate_llm_governance,governed explanations + chatbot unsafe prompts + agent audit,no_salary_hike_no_attrition_no_department,offline_stub_llm_interpreter,deterministic,not_applicable,faithfulness pass rate; unsafe prompt refusal rate; consistency rate,reports/llm_explanations,Automatic evaluation of LLM governance layer without human study.,candidate
gxair_llm_agent_dashboard_2026-06-22T11:07:40+00:00,2026-06-22T11:07:40+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.governance.gxair_score,final dashboard + LLM governance eval,no_salary_hike_no_attrition_no_department,gxair_dashboard,deterministic,not_applicable,transparent G-XAIR component scores with LLM compliance,reports/governance_reports,Generated transparent G-XAIR dashboard extension with LLM governance component.,candidate
final_llm_agent_research_summary_2026-06-22T11:07:40+00:00,2026-06-22T11:07:40+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.governance.governance_report,final LLM-agent generated reports,no_salary_hike_no_attrition_no_department,governance_report,deterministic,not_applicable,readiness label; automatic evaluation summary,reports/governance_reports,Generated final LLM-agent research summary.,candidate
chatbot_guardrail_eval_2026-06-22T11:08:20+00:00,2026-06-22T11:08:20+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.chatbot.evaluate_chatbot,unsafe prompt set in src.chatbot.evaluate_chatbot,not_applicable,guardrailed_chatbot,deterministic,not_applicable,unsafe_prompt_refusal_rate=1.000,reports/chatbot_eval,Evaluated chatbot refusal behavior on unsafe HR prompts.,candidate
chatbot_guardrail_eval_2026-06-22T11:08:20+00:00,2026-06-22T11:08:20+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.chatbot.evaluate_chatbot,unsafe prompt set in src.chatbot.evaluate_chatbot,not_applicable,guardrailed_chatbot,deterministic,not_applicable,unsafe_prompt_refusal_rate=1.000,reports/chatbot_eval,Evaluated chatbot refusal behavior on unsafe HR prompts.,candidate
multi_agent_governance_audit_2026-06-22T11:08:21+00:00,2026-06-22T11:08:21+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.agents.run_governance_audit,structured evidence loaded from final candidate reports,no_salary_hike_no_attrition_no_department,governance_agents,deterministic,not_applicable,agent risk levels; supervisor readiness status,reports/agent_audits,Generated multi-agent governance audit from structured final-candidate evidence.,candidate
llm_governance_eval_2026-06-22T11:08:21+00:00,2026-06-22T11:08:21+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.llm.evaluate_llm_governance,governed explanations + chatbot unsafe prompts + agent audit,no_salary_hike_no_attrition_no_department,offline_stub_llm_interpreter,deterministic,not_applicable,faithfulness pass rate; unsafe prompt refusal rate; consistency rate,reports/llm_explanations,Automatic evaluation of LLM governance layer without human study.,candidate
gxair_llm_agent_dashboard_2026-06-22T11:08:21+00:00,2026-06-22T11:08:21+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.governance.gxair_score,final dashboard + LLM governance eval,no_salary_hike_no_attrition_no_department,gxair_dashboard,deterministic,not_applicable,transparent G-XAIR component scores with LLM compliance,reports/governance_reports,Generated transparent G-XAIR dashboard extension with LLM governance component.,candidate
final_llm_agent_research_summary_2026-06-22T11:08:22+00:00,2026-06-22T11:08:22+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.governance.governance_report,final LLM-agent generated reports,no_salary_hike_no_attrition_no_department,governance_report,deterministic,not_applicable,readiness label; automatic evaluation summary,reports/governance_reports,Generated final LLM-agent research summary.,candidate
llm_agent_unittest_2026-06-22T11:11:01+00:00,2026-06-22T11:11:01+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,.\myenv\Scripts\python.exe -m unittest discover -s tests -v,unittest discovery over tests/,not_applicable,llm_agent_governance_tests,not_applicable,not_applicable,43 tests passed,tests/,Final validation for LLM-assisted multi-agent XAI governance layer.,accepted
chatbot_guardrail_eval_2026-06-22T11:11:52+00:00,2026-06-22T11:11:52+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.chatbot.evaluate_chatbot,unsafe prompt set in src.chatbot.evaluate_chatbot,not_applicable,guardrailed_chatbot,deterministic,not_applicable,unsafe_prompt_refusal_rate=1.000,reports/chatbot_eval,Evaluated chatbot refusal behavior on unsafe HR prompts.,candidate
chatbot_guardrail_eval_2026-06-22T11:11:52+00:00,2026-06-22T11:11:52+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.chatbot.evaluate_chatbot,unsafe prompt set in src.chatbot.evaluate_chatbot,not_applicable,guardrailed_chatbot,deterministic,not_applicable,unsafe_prompt_refusal_rate=1.000,reports/chatbot_eval,Evaluated chatbot refusal behavior on unsafe HR prompts.,candidate
multi_agent_governance_audit_2026-06-22T11:11:52+00:00,2026-06-22T11:11:52+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.agents.run_governance_audit,structured evidence loaded from final candidate reports,no_salary_hike_no_attrition_no_department,governance_agents,deterministic,not_applicable,agent risk levels; supervisor readiness status,reports/agent_audits,Generated multi-agent governance audit from structured final-candidate evidence.,candidate
llm_governance_eval_2026-06-22T11:11:52+00:00,2026-06-22T11:11:52+00:00,c703039f0b501c8b61926a8844c9b2992e3e098d,python -m src.llm.evaluate_llm_governance,governed explanations + chatbot unsafe prompts + agent audit,no_salary_hike_no_attrition_no_department,offline_stub_llm_interpreter,deterministic,not_applicable,faithfulness pass rate; unsafe prompt refusal rate; consistency rate,reports/llm_explanations,Automatic evaluation of LLM governance layer without human study.,candidate
